Date,Company,Customer Acquisition Costs (CAC),Churn Rate (%),Average Order Size ($),Monthly Recurring Revenue (MRR) ($),Annual Run Rate (ARR) ($),Cash Runway (Months),Burn Rate ($/Month),Gross Sales ($),Monthly Active Users (MAU),Net Promoter Score (NPS),LTV/CAC Ratio
2022-11-01,RetailCommerceCo_1,265.98,24.97,939.9,148995.23,1266160.53,18.8,63053.42,897276.85,6230,55,9.53
2022-12-01,RetailCommerceCo_1,462.08,22.56,712.7,81529.03,1403506.69,21.5,25880.21,273759.72,33643,95,6.02
2023-01-01,RetailCommerceCo_1,276.51,7.26,598.77,99987.01,1456963.64,23.7,54144.6,185997.62,17725,73,1.1
2023-02-01,RetailCommerceCo_1,469.92,3.83,901.71,36566.48,1652649.88,29.6,22496.01,47710.79,32870,5,10.04
2023-03-01,RetailCommerceCo_1,349.49,10.16,144.84,53363.21,501005.13,27.7,15358.46,823151.73,17447,71,6.03
2023-04-01,RetailCommerceCo_1,48.43,22.69,961.87,136294.39,365821.03,16.0,67122.64,124295.47,30235,91,11.03
2023-05-01,RetailCommerceCo_1,57.74,19.64,766.88,98346.02,239106.03,35.4,18830.67,715517.84,48836,82,9.36
2023-06-01,RetailCommerceCo_1,418.22,24.74,114.07,71883.99,1755316.79,32.5,69390.32,590785.86,5413,67,6.04
2023-07-01,RetailCommerceCo_1,39.85,18.27,927.36,18598.09,830975.2,24.7,46091.59,320401.03,39911,-45,10.77
2023-08-01,RetailCommerceCo_1,73.14,5.26,963.53,76055.24,1576289.59,32.9,69313.81,59887.36,27679,-7,3.1
2023-09-01,RetailCommerceCo_1,338.51,7.29,505.71,118380.9,353966.24,14.6,52289.17,27532.15,44952,9,2.43
2023-10-01,RetailCommerceCo_1,144.61,1.37,589.78,60769.82,776017.3,9.1,27900.1,920618.25,36740,21,11.72
2023-11-01,RetailCommerceCo_1,428.56,5.87,711.31,15460.09,307566.33,20.6,31029.64,818728.15,969,-5,11.37
2023-12-01,RetailCommerceCo_1,99.09,17.47,579.37,56794.09,1790815.44,19.7,48246.54,512784.87,20322,12,3.12
