Date,Company,Customer Acquisition Costs (CAC),Churn Rate (%),Average Order Size ($),Monthly Recurring Revenue (MRR) ($),Annual Run Rate (ARR) ($),Cash Runway (Months),Burn Rate ($/Month),Gross Sales ($),Monthly Active Users (MAU),Net Promoter Score (NPS),LTV/CAC Ratio
2020-10-01,HospitalityTourismCo_1,302.22,16.69,645.56,54224.77,1354558.93,30.4,8857.07,360539.99,22345,-14,5.25
2020-11-01,HospitalityTourismCo_1,211.74,12.68,597.39,6649.16,1205404.76,33.5,47522.28,733773.38,10565,-4,5.95
2020-12-01,HospitalityTourismCo_1,89.07,21.08,764.41,36432.39,776543.55,14.9,24595.73,389097.73,2187,18,2.62
2021-01-01,HospitalityTourismCo_1,136.38,5.84,89.86,77572.33,283126.2,19.1,42078.65,367423.12,15596,13,9.46
2021-02-01,HospitalityTourismCo_1,200.16,4.13,720.83,48232.01,558226.89,30.3,3533.22,369123.14,11891,56,10.34
2021-03-01,HospitalityTourismCo_1,536.86,12.18,685.78,5255.65,448147.69,6.3,12434.95,583914.05,14602,-30,2.79
2021-04-01,HospitalityTourismCo_1,387.99,9.6,666.38,44126.95,1406540.17,24.4,27451.81,409943.1,17324,-35,8.48
2021-05-01,HospitalityTourismCo_1,579.69,13.36,794.26,18905.02,922612.5,26.3,20768.19,290978.49,22403,11,7.73
2021-06-01,HospitalityTourismCo_1,479.84,18.42,508.24,6696.72,958322.84,16.3,29734.34,683391.42,14288,-37,8.64
2021-07-01,HospitalityTourismCo_1,177.59,8.62,153.58,70103.6,1339920.68,30.3,33987.39,753998.39,21034,54,6.35
2021-08-01,HospitalityTourismCo_1,200.66,17.42,234.0,68387.34,1028682.67,29.1,18359.69,83948.23,6608,-11,2.38
2021-09-01,HospitalityTourismCo_1,487.1,23.82,219.7,92097.3,636039.58,16.7,59252.44,286515.41,16061,-35,8.84
2021-10-01,HospitalityTourismCo_1,475.17,21.69,474.64,72923.22,1027504.15,10.5,14402.87,614983.35,5905,68,8.57
2021-11-01,HospitalityTourismCo_1,67.83,9.1,546.68,85098.96,911806.89,19.2,17516.28,496438.69,24701,54,1.66
2021-12-01,HospitalityTourismCo_1,60.78,7.43,72.47,30655.83,425271.11,16.3,43668.37,361429.95,12098,28,11.42
2022-01-01,HospitalityTourismCo_1,589.85,10.89,83.15,103375.42,633017.73,25.2,51075.36,491735.55,11102,-39,3.74
2022-02-01,HospitalityTourismCo_1,157.28,14.33,528.46,104742.01,1184957.26,35.7,58082.14,504455.18,5010,-35,2.34
2022-03-01,HospitalityTourismCo_1,222.19,19.74,356.89,81025.12,202092.47,27.3,41421.64,474868.75,8972,75,10.68
2022-04-01,HospitalityTourismCo_1,506.12,4.06,608.3,54521.97,488783.24,32.4,34897.95,408469.26,312,8,10.44
2022-05-01,HospitalityTourismCo_1,106.6,19.63,172.88,27802.53,268256.77,13.2,44714.35,529435.39,12200,20,5.56
2022-06-01,HospitalityTourismCo_1,258.22,4.5,675.97,102458.81,167718.83,14.0,44957.07,697923.85,10631,88,10.93
2022-07-01,HospitalityTourismCo_1,83.9,16.21,66.56,111463.54,517070.25,25.5,13523.47,267185.5,2157,-2,3.99
2022-08-01,HospitalityTourismCo_1,446.29,2.57,774.88,74869.51,727807.43,18.4,45693.3,294714.17,3935,94,10.09
2022-09-01,HospitalityTourismCo_1,560.92,17.77,721.53,21850.74,730865.24,16.9,21953.71,183186.49,1450,28,6.83
2022-10-01,HospitalityTourismCo_1,201.97,24.11,508.41,1082.61,394550.44,36.0,58562.16,442523.93,21987,15,8.79
2022-11-01,HospitalityTourismCo_1,562.72,12.5,781.93,65206.42,932830.05,8.5,37862.92,617704.12,16459,38,6.53
2022-12-01,HospitalityTourismCo_1,266.33,24.26,407.47,16019.15,53229.48,29.2,34217.35,17174.85,343,74,11.05
2023-01-01,HospitalityTourismCo_1,571.27,2.29,142.57,1579.57,1252466.06,8.1,9150.31,193683.78,24122,-29,8.57
2023-02-01,HospitalityTourismCo_1,389.28,19.83,569.96,89765.29,117181.39,23.7,45932.82,459042.02,1261,4,10.87
2023-03-01,HospitalityTourismCo_1,401.02,13.31,535.48,49173.12,852606.87,35.1,9457.52,198525.82,18349,54,3.84
2023-04-01,HospitalityTourismCo_1,596.02,18.29,375.48,108426.27,218270.22,14.6,57488.2,452222.97,5017,38,11.83
2023-05-01,HospitalityTourismCo_1,248.12,14.84,685.02,33456.19,649965.05,10.6,40194.61,18292.61,24204,3,9.88
2023-06-01,HospitalityTourismCo_1,452.94,12.25,470.45,73443.58,398566.29,10.2,24461.57,89463.17,12969,57,10.39
2023-07-01,HospitalityTourismCo_1,96.01,2.35,652.93,60232.27,684486.68,20.3,24721.06,710828.0,4570,97,11.71
2023-08-01,HospitalityTourismCo_1,515.59,18.7,527.16,100385.26,1271111.45,10.0,23505.24,647277.43,16712,94,5.65
2023-09-01,HospitalityTourismCo_1,185.12,22.23,770.7,83272.44,1166910.86,13.7,40906.37,60528.94,14622,-43,8.37
2023-10-01,HospitalityTourismCo_1,224.27,19.55,61.85,45772.11,1290999.29,13.9,41071.12,297681.39,567,-42,2.13
2023-11-01,HospitalityTourismCo_1,99.48,9.83,603.72,115677.32,1120153.47,20.0,18538.05,251609.78,2718,49,3.14
2023-12-01,HospitalityTourismCo_1,317.82,23.26,475.68,64116.99,1045829.22,10.6,11374.35,286135.21,10711,19,7.8
